@relation trainingData

@attribute cancelled {0, 1}
@attribute weight numeric
@attribute reward numeric
@attribute itemCount numeric

@data
?,23.95,54.18000000000001,7
?,3.28,33.089999999999996,2
?,53.73,207.45999999999998,18
?,3.72,13.48,1
?,44.17,119.51,12
?,43.82,118.81000000000003,11
?,31.54,94.72,9
?,20.69,119.99000000000001,9
?,23.7,116.82,9
?,30.39,91.25999999999999,9
?,15.61,75.78,6
?,5.78,23.04,2
?,38.39,47.3,8
?,29.64,100.97,9
?,11.7,11.08,5
?,33.269999999999996,89.35,10
?,56.870000000000005,224.48,18
?,2.09,5.96,1
?,24.0,84.16,7
?,46.78999999999999,160.76000000000002,15
?,14.71,122.76999999999998,8
?,35.76,189.14,14
?,31.560000000000002,96.75,10
?,27.92,183.77,14
?,20.23,87.69999999999999,8
?,33.85,154.45999999999998,12
?,17.939999999999998,92.58,7
?,24.89,85.48,8
?,3.63,23.259999999999998,2
?,30.64,179.26999999999998,14
?,30.76,98.96000000000001,8
?,27.840000000000003,58.36,7
?,21.2,55.36,6
?,42.63,181.97,13
?,23.79,142.11,10
?,38.54,154.82999999999998,14
?,40.42,125.25999999999999,12
?,15.34,65.9,5
?,7.139999999999999,59.83,5
?,43.12,54.22,9
?,32.14,119.13,11
?,39.44,132.18,12
?,30.490000000000002,117.75,10
?,9.79,54.809999999999995,4
?,60.07000000000001,193.87999999999997,18
?,54.77,165.35,18
?,14.19,49.32,4
?,16.88,15.23,4
?,37.019999999999996,147.14,9
?,18.41,14.629999999999999,4
?,16.19,47.98,5
?,31.71,121.02999999999999,10
?,23.25,148.17000000000002,11
?,23.7,96.7,9
?,22.8,27.4,4
?,21.830000000000002,89.67,7
?,38.05,163.57,15
?,41.089999999999996,112.41000000000001,10
?,32.09,99.01,10
?,33.62,76.41,7
?,31.37,72.10000000000001,8
?,23.990000000000002,96.09,8
?,30.060000000000002,154.34,11
?,43.84,156.0,13
?,34.3,112.6,9
?,52.25,208.32000000000002,15
?,28.139999999999997,55.56999999999999,7
?,41.77,55.36,9
?,30.549999999999997,112.97000000000001,9
?,24.84,48.669999999999995,6
?,31.76,110.46000000000001,9
?,52.11,125.78,12
?,5.8100000000000005,26.21,2
?,8.84,41.65,3
?,28.85,108.44,9
?,35.66,156.94,13
?,23.93,100.46000000000001,8
?,61.599999999999994,214.37,15
?,34.31,82.71,10
?,24.939999999999998,122.55000000000001,10
?,32.97,75.81,8
?,13.14,45.0,3
?,30.709999999999997,179.6,10
?,51.52,135.35000000000002,13
?,56.580000000000005,140.11999999999998,14
?,60.66,119.96,11
?,29.77,134.9,11
?,38.46,117.13,11
?,29.72,98.25,10
?,29.85,123.48,9
?,8.370000000000001,15.62,3
?,12.98,56.379999999999995,5
?,27.68,70.78,8
?,17.55,86.38,8
?,30.71,107.88,9
?,26.99,33.6,6
?,18.34,87.45,7
?,36.01,96.85999999999999,10
?,22.29,141.92,13
?,36.97,164.15999999999997,11
